Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link,Specific Location,Bedrooms,Flatmates,Bathrooms,Area,Average Price
251737,barcelona,Room,From 7 March,500,no deposit,Room in shared apartment  Sants Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/251737,Sants,No info,2,1,50,500
942592,barcelona,Room,From 2 March,445,instant booking,Room for rent in 5-bedroom apartment in Barcelona!,https://www.spotahome.com/barcelona/for-rent:rooms/942592,Barcelona,No info,5,No info,No info,445
955346,barcelona,Room,From 7 March,625,bills included,Room for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/955346,Barcelona,No info,7,1,No info,625
262956,barcelona,Apartment,From 5 March,1300,spotahome plus,2-bedroom apartment for rent in Eixample Esquerra,https://www.spotahome.com/barcelona/for-rent:apartments/262956,Eixample Esquerra,2,No info,1,55,1300
326474,barcelona,Room,From 2 March,400-495,instant booking,Room for rent 7-bedroom apartment L'Esquerra de Eixample,https://www.spotahome.com/barcelona/for-rent:rooms/326474,Eixample Esquerra,No info,7,1,133,447
1090765,barcelona,Room,From 5 March,800-850,bills included,Room for rent in 9-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1090765,Barcelona,No info,9,2,No info,825
206774,barcelona,Room,From 2 March,475-595,instant booking,Furnished room 7-bedroom apartment Horta-Guinardó Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/206774,Horta-Guinardo,No info,7,1,125,535
1217893,barcelona,Room,From 7 March,500,some bills included,Room in shared apartment in Sant Adrià de Besòs,https://www.spotahome.com/barcelona/for-rent:rooms/1217893,Sant Adria� de Besos,No info,3,1,80,500
1199274,barcelona,Room,From 5 March,685,bills included,Furnished Bedroom in Barcelona - Bedroom number 1,https://www.spotahome.com/barcelona/for-rent:rooms/1199274,Barcelona,No info,8,No info,No info,685
1081663,barcelona,Room,From 2 March,700,no deposit,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1081663,Barcelona,No info,2,1,60,700
962796,barcelona,Room,From 2 March,525,instant booking,Room for rent in 5-bedroom apartment in Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/962796,Eixample,No info,5,No info,No info,525
922260,barcelona,Room,From 2 March,550,bills included,Room in 2-bedroom apartment in El Carmel Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/922260,El Carmel,No info,2,No info,No info,550
218408,barcelona,Room,From 15 March,445,instant booking,Tidy room for rent in 5-bedroom apartment next to La Rambla,https://www.spotahome.com/barcelona/for-rent:rooms/218408,La Rambla,No info,5,1,90,445
768572,barcelona,Room,From 3 March,575,bills included,Room in shared apartment in L'Hospitalet de Llobregat de Llobregat,https://www.spotahome.com/barcelona/for-rent:rooms/768572,Hospitalet de Llobregat,No info,4,1,63,575
1218463,barcelona,Room,From 2 March,910,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1218463,Barcelona,No info,3,1,80,910
373987,barcelona,Room,From 5 March,439,some bills included,Room in 14-bedroom apartment in Sant Gervasi Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/373987,Sant Gervasi,No info,14,3,320,439
1191054,barcelona,Room,From 15 March,475,bills included,Room for rent in a 4-bedroom apartment in Mataró,https://www.spotahome.com/barcelona/for-rent:rooms/1191054,Mataro,No info,4,2,110,475
366029,barcelona,Room,From 2 March,500,bills included,Cozy room in 6-bedroom house in Sant Cugat del Vallès,https://www.spotahome.com/barcelona/for-rent:rooms/366029,Sant Cugat del Valles,No info,6,1,No info,500
392365,barcelona,Room,From 3 March,431-575,bills included,Cosy room for rent in Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/392365,Eixample,No info,5,3,No info,503
973202,barcelona,Room,From 2 March,625,instant booking,Room for rent in 8-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/973202,Barcelona,No info,8,3,No info,625
1218464,barcelona,Room,From 2 March,820,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1218464,Barcelona,No info,3,1,80,820
777449,barcelona,Room,From 5 March,580,bills included,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/777449,Barcelona,No info,4,1,80,580
1002483,barcelona,Room,From 7 March,500,bills included,Cozy bedroom in 7-bedroom apartment for rent in Barcelona!,https://www.spotahome.com/barcelona/for-rent:rooms/1002483,Barcelona,No info,7,2,No info,500
132751,barcelona,Apartment,From 18 March,1250,some bills included,2-bedroom apartment for rent with balcony in El Raval,https://www.spotahome.com/barcelona/for-rent:apartments/132751,El Raval,2,No info,1,57,1250
1086158,barcelona,Studio,From 3 March,1170,some bills included,Studio apartment for rent in Barcelona Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/1086158,Barcelona,No info,No info,1,40,1170
1083399,barcelona,Room,From 2 March,600,no deposit,Room for rent in 3-bedroom apartment in Cornellà Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1083399,Cornella de Llobregat,No info,3,No info,No info,600
219457,barcelona,Room,From 2 March,485,instant booking,Furnished room in 5-bedroom apartment in Gràcia Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/219457,Gracia,No info,5,2,No info,485
221781,barcelona,Room,From 2 March,620,some bills included,Spacious room in 5-bedroom apartment in El Raval Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/221781,El Raval,No info,5,2,130,620
1205899,barcelona,Room,From 2 March,690,some bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1205899,Barcelona,No info,3,1,75,690
1195293,barcelona,Room,From 1 May,500,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1195293,Barcelona,No info,2,1,70,500
762491,barcelona,Room,From 2 March,950,bills included,Rooms for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/762491,Barcelona,No info,5,2,No info,950
777447,barcelona,Room,From 5 March,526,bills included,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/777447,Barcelona,No info,4,1,80,526
374284,barcelona,Room,From 5 March,634,some bills included,Room in 10-bedroom apartment in L'Esquerra de Eixample,https://www.spotahome.com/barcelona/for-rent:rooms/374284,Eixample Esquerra,No info,10,6,120,634
253769,barcelona,Room,From 7 March,650,bills included,Room for rent in 4-bedroom apartment in Gracia Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/253769,Gracia,No info,5,2,140,650
917848,barcelona,Room,From 2 March,650,bills included,Room for rent in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/917848,Barcelona,No info,6,2,No info,650
440494,barcelona,Apartment,From 7 March,1700,bills included,Studio apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/440494,Barcelona,1,No info,1,65,1700
120170,barcelona,Studio,From 6 March,750,instant booking,Studio apartment with AC for rent in Collblanc Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/120170,Collblanc,No info,No info,1,20,750
138804,barcelona,Studio,From 10 March,1300,bills included,Bijou studio apartment for rent in El Raval,https://www.spotahome.com/barcelona/for-rent:studios/138804,El Raval,No info,No info,1,30,1300
1089072,barcelona,Room,From 2 March,525,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1089072,Barcelona,No info,3,1,60,525
161865,barcelona,Room,From 2 March,580,some bills included,Luminous room in 5-bedroom apartment in Gràcia Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/161865,Gracia,No info,5,2,90,580
127991,barcelona,Room,From 2 March,1200-1300,no deposit,Big room in 6-bedroom apartment in La Barceloneta Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/127991,Barceloneta,No info,6,4,160,1250
1010372,barcelona,Room,From 29 March,890,bills included,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1010372,Barcelona,No info,5,2,114,890
1215438,barcelona,Apartment,From 2 March,1620,bills included,Whole 3 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1215438,Barcelona,3,No info,1,60,1620
1217901,barcelona,Room,From 1 April,775,no deposit,Room for rent in a 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1217901,Barcelona,No info,7,2,No info,775
605357,barcelona,Room,From 30 March,430,bills included,Rooms for rent in 2-bedroom apartment in La Sagrada Família,https://www.spotahome.com/barcelona/for-rent:rooms/605357,La Sagrada Familia,No info,2,1,80,430
1198799,barcelona,Apartment,From 2 March,1090,some bills included,Modern fully furnished apartment on Guifré street,https://www.spotahome.com/barcelona/for-rent:apartments/1198799,Guifre,1,No info,1,No info,1090
608691,barcelona,Room,From 3 March,491-655,bills included,Room for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/608691,Barcelona,No info,3,1,150,573
695509,barcelona,Room,From 7 March,470,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/695509,Barcelona,No info,3,1,80,470
1014779,barcelona,Apartment,From 2 March,1400,bills included,3-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1014779,Barcelona,3,No info,1,75,1400
1185408,barcelona,Studio,From 2 March,1000,some bills included,Studio apartment for rent in Ciutat Vella Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/1185408,Ciutat Vella,No info,No info,1,30,1000
1210089,barcelona,Room,From 3 March,600,bills included,Bedroom with Double Bed in  Ciutat Vella Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1210089,Ciutat Vella,No info,4,2,1,600
514185,barcelona,Room,From 2 March,550,bills included,Room in shared apartment in Sant Cugat del Vallès,https://www.spotahome.com/barcelona/for-rent:rooms/514185,Sant Cugat del Valles,No info,3,2,190,550
1000074,barcelona,Room,From 7 March,530,bills included,Room for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1000074,Barcelona,No info,3,2,No info,530
94104,barcelona,Room,From 3 March,499-665,bills included,Cozy room in shared apartment in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/94104,El Born,No info,8,3,140,582
1213609,barcelona,Apartment,From 5 March,2075,no deposit,Rustic flat in the Gothic centre,https://www.spotahome.com/barcelona/for-rent:apartments/1213609,Gothic,2,No info,2,110,2075
264267,barcelona,Room,From 2 March,650,bills included,Room in 4-bedroom apartment in LEsquerra de lEixample,https://www.spotahome.com/barcelona/for-rent:rooms/264267,Eixample Esquerra,No info,4,2,130,650
580279,barcelona,Room,From 2 March,550,bills included,Room for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/580279,Barcelona,No info,3,1,No info,550
1090761,barcelona,Room,From 5 March,800-850,bills included,Room for rent in 9-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1090761,Barcelona,No info,9,2,No info,825
1170512,barcelona,Room,From 3 March,490,bills included,Room in shared apartment in El Prat de Llobregat,https://www.spotahome.com/barcelona/for-rent:rooms/1170512,El Prat de Llobregat,No info,2,1,90,490
579898,barcelona,Room,From 2 March,575,bills included,Rooms for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/579898,Barcelona,No info,4,1,No info,575
1169307,barcelona,Room,From 2 March,500,bills included,Rooms for rent in 2-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1169307,Barcelona,No info,2,1,55,500
384036,barcelona,Apartment,From 2 March,1700,bills included,1-bedroom apartment for rent in Vila Olímpica Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/384036,Vila Olimpica,1,No info,1,58,1700
1202578,barcelona,Room,From 7 March,590,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1202578,Barcelona,No info,4,3,120,590
1199391,barcelona,Room,From 3 March,900,bills included,Room for rent in shared 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1199391,Barcelona,No info,4,3,150,900
1073866,barcelona,Apartment,From 2 March,1980,bills included,1-bedroom apartment for rent in Barcelona Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1073866,Barcelona,1,No info,1,130,1980
931859,barcelona,Room,From 16 March,580,instant booking,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/931859,Barcelona,No info,4,1,No info,580
1091377,barcelona,Room,From 31 March,560,instant booking,Room for rent in shared 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1091377,Barcelona,No info,4,1,90,560
480292,barcelona,Room,From 18 March,629,instant booking,Rooms for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/480292,Barcelona,No info,7,5,160,629
1199284,barcelona,Room,From 13 March,750,bills included,Room for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1199284,Barcelona,No info,3,2,85,750
913279,barcelona,Room,From 7 March,550,some bills included,Rooms for rent in shared apartment in Bacelona,https://www.spotahome.com/barcelona/for-rent:rooms/913279,Barcelona,No info,1,1,50,550
956826,barcelona,Room,From 2 March,550,instant booking,Room for rent in 4-bedroom apartment in El Raval Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/956826,El Raval,No info,4,1,87,550
917841,barcelona,Room,From 7 March,650,bills included,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/917841,Barcelona,No info,4,1,No info,650
1074447,barcelona,Room,From 2 March,800,no deposit,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1074447,Barcelona,No info,6,2,150,800
930592,barcelona,Room,From 2 March,595,bills included,Room for rent in 4-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/930592,Barcelona,No info,4,2,90,595
953317,barcelona,Room,From 5 March,584,bills included,Rooms for rent in 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/953317,Barcelona,No info,6,2,No info,584
1087760,barcelona,Apartment,From 5 March,1900,some bills included,Whole 2 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1087760,Barcelona,2,No info,1,55,1900
510900,barcelona,Apartment,From 31 March,1350,some bills included,Whole 2 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/510900,Barcelona,2,No info,1,59,1350
952274,barcelona,Room,From 2 March,500-645,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952274,Barcelona,No info,5,1,No info,572
639145,barcelona,Room,From 2 March,460-575,instant booking,Room for rent in 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/639145,Barcelona,No info,6,2,No info,517
777448,barcelona,Room,From 5 March,559,bills included,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/777448,Barcelona,No info,4,1,80,559
827148,barcelona,Room,From 2 March,590-675,instant booking,Live the coliving experience in the heart of Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/827148,Barcelona,No info,5,3,No info,632
372789,barcelona,Room,From 5 March,689,some bills included,Room in 10-bedroom apartment in L'Esquerra de Eixample,https://www.spotahome.com/barcelona/for-rent:rooms/372789,Eixample Esquerra,No info,10,6,120,689
1015667,barcelona,Apartment,From 2 March,2900,no deposit,1-bedroom apartment for rent in Born Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1015667,Born,1,No info,2,No info,2900
226090,barcelona,Room,From 2 March,695-800,instant booking,Live the coliving experience in the heart of Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/226090,Barcelona,No info,7,2,170,747
272058,barcelona,Studio,From 6 March,790,instant booking,Studio for rent in L'Hospitalet de Llobregat de Llobregat Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/272058,Hospitalet de Llobregat,No info,No info,1,20,790
602410,barcelona,Room,From 5 March,682,bills included,Rooms for rent in 8-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/602410,Barcelona,No info,8,3,170,682
961242,barcelona,Room,From 2 March,600,instant booking,Room for rent in 3-bedroom apartment in Porta Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/961242,Porta,No info,3,1,70,600
642551,barcelona,Studio,From 2 March,1295,bills included,Studio apartment for rent in Ciutat Vella Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/642551,Ciutat Vella,No info,No info,1,40,1295
1001197,barcelona,Apartment,From 7 March,2000,bills included,1-bedroom apartment for rent in La Barceloneta Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1001197,Barceloneta,1,No info,1,33,2000
396065,barcelona,Room,From 2 March,470,instant booking,Lovely room for rent in Navas Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/396065,Navas,No info,5,1,85,470
200965,barcelona,Studio,From 6 March,799,instant booking,Studio for rent in L'Hospitalet de Llobregat de Llobregat Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/200965,Hospitalet de Llobregat,No info,No info,1,20,799
390781,barcelona,Room,From 7 March,600,bills included,Room for rent in 4-bedroom apartment in Gracia Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/390781,Gracia,No info,5,2,140,600
295382,barcelona,Room,From 2 March,950,bills included,Huge room in 5-bedroom apartment in Gràcia Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/295382,Gracia,No info,5,2,No info,950
433931,barcelona,Apartment,From 2 March,2200,some bills included,3-bedroom apartment for rent in L'Hospitalet de Llobregat De Llobregat,https://www.spotahome.com/barcelona/for-rent:apartments/433931,Hospitalet de Llobregat,3,No info,2,90,2200
955347,barcelona,Room,From 7 March,625,bills included,Room for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/955347,Barcelona,No info,7,1,No info,625
135431,barcelona,Studio,From 14 March,1250,some bills included,Studio apartment for rent in El Raval Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/135431,El Raval,No info,No info,1,54,1250
939948,barcelona,Room,From 16 March,520,instant booking,Room for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/939948,Barcelona,No info,3,1,No info,520
154962,barcelona,Room,From 2 March,500-625,instant booking,Charming room for rent in Gràcia Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/154962,Gracia,No info,6,2,No info,562
818589,barcelona,Room,From 2 March,550,bills included,Room for rent in a 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/818589,Barcelona,No info,4,2,100,550
1190061,barcelona,Room,From 2 March,470-595,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1190061,Barcelona,No info,5,1,No info,532
1199283,barcelona,Room,From 13 March,750,bills included,Room for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1199283,Barcelona,No info,3,2,85,750
302695,barcelona,Room,From 17 March,595,bills included,Room for rent in 7-bedroom apartment in Barri Gòtic,https://www.spotahome.com/barcelona/for-rent:rooms/302695,Gothic Quarter,No info,7,4,195,595
334048,barcelona,Room,From 2 March,445,instant booking,Room in 5-bedroom apartment in Horta-Guinardó Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/334048,Horta-Guinardo,No info,5,1,85,445
150727,barcelona,Room,From 2 March,600,some bills included,Interior room for rent L'Esquerra de Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/150727,Eixample Esquerra,No info,2,2,80,600
